"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.260222659E1,6.491230178E1,2.553377507E1,1.512169712E1,1.450000048E0,1.838999939E2,3.790092468E0,2.500000000E0
6.360199550E1,6.491228844E1,2.553377357E1,1.513004677E1,1.460000038E0,1.860000000E2,3.790092468E0,2.500000000E0
6.460242852E1,6.491227593E1,2.553377071E1,1.494253559E1,1.429999948E0,1.866999969E2,3.790092468E0,2.500000000E0
6.560231096E1,6.491226252E1,2.553376997E1,1.502400518E1,1.480000019E0,1.863000031E2,3.790092468E0,2.500000000E0
6.660189857E1,6.491224970E1,2.553376695E1,1.512164999E1,1.480000019E0,1.838000031E2,3.790092468E0,2.500000000E0
6.760246419E1,6.491223616E1,2.553376604E1,1.510656187E1,1.480000019E0,1.828999939E2,3.790092468E0,2.500000000E0
6.860222102E1,6.491222355E1,2.553376379E1,1.521037130E1,1.399999976E0,1.846999969E2,3.790092468E0,2.500000000E0
6.960257232E1,6.491221088E1,2.553376130E1,1.540756451E1,1.419999957E0,1.851999969E2,3.790092468E0,2.500000000E0
7.060226122E1,6.491219867E1,2.553375719E1,1.538790048E1,1.460000038E0,1.866999969E2,3.790092468E0,2.500000000E0
7.160230961E1,6.491218604E1,2.553375066E1,1.525800694E1,1.450000048E0,1.880000000E2,3.790092468E0,2.500000000E0
7.260213227E1,6.491217331E1,2.553374386E1,1.534466609E1,1.460000038E0,1.871000061E2,3.790092468E0,2.500000000E0
7.360244107E1,6.491216040E1,2.553373629E1,1.551347851E1,1.429999948E0,1.876999969E2,3.790092468E0,2.500000000E0
7.460213310E1,6.491214732E1,2.553372929E1,1.538822330E1,1.490000010E0,1.893999939E2,3.790092468E0,2.500000000E0
7.560271711E1,6.491213351E1,2.553372372E1,1.592263516E1,1.470000029E0,1.881000061E2,3.790092468E0,2.500000000E0
7.660247903E1,6.491212070E1,2.553371790E1,1.617634730E1,1.470000029E0,1.873999939E2,3.790092468E0,2.500000000E0
7.760225169E1,6.491210728E1,2.553371185E1,1.617041536E1,1.470000029E0,1.876000061E2,3.790092468E0,2.500000000E0
7.860213153E1,6.491209442E1,2.553370636E1,1.605693991E1,1.460000038E0,1.873000031E2,3.790092468E0,2.500000000E0
7.960224924E1,6.491208143E1,2.553370093E1,1.583518796E1,1.440000057E0,1.881000061E2,3.790092468E0,2.500000000E0
8.060229580E1,6.491206709E1,2.553369520E1,1.580691625E1,1.460000038E0,1.891000061E2,3.790092468E0,2.500000000E0
8.160246742E1,6.491205216E1,2.553368893E1,1.553389309E1,1.440000057E0,1.896999969E2,3.790092468E0,2.500000000E0
8.260225268E1,6.491203865E1,2.553368219E1,1.538684789E1,1.429999948E0,1.913000031E2,3.790092468E0,2.500000000E0
8.360261934E1,6.491202560E1,2.553367452E1,1.535906596E1,1.480000019E0,1.896000061E2,3.790092468E0,2.500000000E0
8.460195408E1,6.491201133E1,2.553366837E1,1.551389985E1,1.480000019E0,1.871999969E2,3.790092468E0,2.500000000E0
8.560196403E1,6.491199720E1,2.553366407E1,1.543033026E1,1.490000010E0,1.863000031E2,3.790092468E0,2.500000000E0
8.660229570E1,6.491198411E1,2.553366026E1,1.556935677E1,1.450000048E0,1.898000031E2,3.790092468E0,2.500000000E0
8.760256455E1,6.491197117E1,2.553365467E1,1.549122061E1,1.450000048E0,1.923999939E2,3.790092468E0,2.500000000E0
8.860207898E1,6.491195784E1,2.553364962E1,1.509588431E1,1.440000057E0,1.903999939E2,3.790092468E0,2.500000000E0
8.960213945E1,6.491194400E1,2.553364351E1,1.514891194E1,1.480000019E0,1.903000031E2,3.790092468E0,2.500000000E0
9.060197288E1,6.491193025E1,2.553363763E1,1.471188836E1,1.460000038E0,1.911999969E2,3.790092468E0,2.500000000E0
9.160252757E1,6.491191745E1,2.553363084E1,1.427816170E1,1.460000038E0,1.906000061E2,3.790092468E0,2.500000000E0
9.260198596E1,6.491190427E1,2.553362465E1,1.418415627E1,1.450000048E0,1.921000061E2,3.790092468E0,2.500000000E0
9.360260491E1,6.491189113E1,2.553361872E1,1.437500192E1,1.450000048E0,1.941000061E2,3.790092468E0,2.500000000E0
9.460181033E1,6.491187868E1,2.553361129E1,1.409532842E1,1.450000048E0,1.933999939E2,3.790092468E0,2.500000000E0
9.560273408E1,6.491186610E1,2.553360623E1,1.425059095E1,1.409999967E0,1.923999939E2,3.790092468E0,2.500000000E0
9.660212486E1,6.491185282E1,2.553360324E1,1.438412400E1,1.460000038E0,1.901000061E2,3.790092468E0,2.500000000E0
9.760264173E1,6.491184018E1,2.553359911E1,1.453584629E1,1.399999976E0,1.920000000E2,3.790092468E0,2.500000000E0
9.860263319E1,6.491182811E1,2.553359389E1,1.453888765E1,1.470000029E0,1.916999969E2,3.790092468E0,2.500000000E0
9.960187330E1,6.491181599E1,2.553358802E1,1.418768101E1,1.429999948E0,1.935000000E2,3.790092468E0,2.500000000E0
1.006025248E2,6.491180334E1,2.553357734E1,1.400346681E1,1.549999952E0,1.951000061E2,3.790092468E0,2.500000000E0
1.016024236E2,6.491178984E1,2.553356627E1,1.367600236E1,1.500000000E0,1.956000061E2,3.790092468E0,2.500000000E0
1.026027562E2,6.491177782E1,2.553355533E1,1.327798264E1,1.440000057E0,1.961000061E2,3.790092468E0,2.500000000E0
1.036018106E2,6.491176580E1,2.553354464E1,1.296022410E1,1.519999981E0,1.958999939E2,3.790092468E0,2.500000000E0
1.046019678E2,6.491175350E1,2.553353532E1,1.310932300E1,1.470000029E0,1.965000000E2,3.790092468E0,2.500000000E0
1.056018995E2,6.491174196E1,2.553352848E1,1.306176696E1,1.419999957E0,1.956000061E2,3.790092468E0,2.500000000E0
1.066019836E2,6.491172969E1,2.553351859E1,1.284685230E1,1.500000000E0,1.956999969E2,3.790092468E0,2.500000000E0
1.076024748E2,6.491171758E1,2.553350871E1,1.249369317E1,1.450000048E0,1.971000061E2,3.790092468E0,2.500000000E0
